Method,Threshold,Frequency
SFL IID,1.0,0.33
SFL IID,1.05,0.0
SFL IID,1.1,0.0
SFL IID,1.2,0.0
USFL non-IID,1.0,0.53
USFL non-IID,1.05,0.056666666666666664
USFL non-IID,1.1,0.0033333333333333335
USFL non-IID,1.2,0.0
GAS non-IID,1.0,0.35
GAS non-IID,1.05,0.08666666666666667
GAS non-IID,1.1,0.04
GAS non-IID,1.2,0.0
MultiSFL non-IID,1.0,0.38
MultiSFL non-IID,1.05,0.16666666666666666
MultiSFL non-IID,1.1,0.05333333333333334
MultiSFL non-IID,1.2,0.013333333333333334
MIX2SFL non-IID,1.0,0.3047945205479452
MIX2SFL non-IID,1.05,0.22945205479452055
MIX2SFL non-IID,1.1,0.1917808219178082
MIX2SFL non-IID,1.2,0.10273972602739725
SFL non-IID,1.0,0.5466666666666666
SFL non-IID,1.05,0.39
SFL non-IID,1.1,0.2733333333333333
SFL non-IID,1.2,0.11333333333333333
